"region","dealer_code","dealer_name","channel_name","case_id","description","created_on","created_by","updated_on","updated_by","reason_code","case_owner","status","case_sub_type_id","case_closure_date","escalation_level"
"EAST 2","11175 - OIP","N.R. ENTERPRISES","Arena","B4531395239"," DEALER NAME - N.R. ENTERPRISES
DEALER ADDRESS  - HIRAK ROAD,, NEAR BINOD BIHARI MAHATO, KOLYANCHAL UNIVERSITY. PIN: 826004
Vehicle Registration number - BR01KD6719
The customer requested dealership details to proceed with a service booking;and wanted to book the service so i provide the dealer details to the customer 
","2026-06-15 02:28:04.091576","1153962@maruticrm.onmicrosoft.com","2026-06-15 02:28:04.091576","1153962@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"EAST 2","10261 - KKR","PREMSONS MOTOR UDYOG PVT. LTD.","Arena","B4183700358","The customer stated that his car has been at the workshop for the past month for body repair work but the workshop team has still not given him the delivery of his vehicle and despite visiting the workshop four to five times he is not receiving any proper response or update regarding when he will get his car back so since he is raising this issue for the first time I registered his concern as a query and because no higher authority contact number was available on the CRM. I could not share any number with him.","2026-06-15 02:41:48.199134","81113798@maruticrm.onmicrosoft.com","2026-06-15 02:41:48.199134","81113798@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH 2","10156 - WF1","BIMAL AUTO AGENCY INDIA PVT. LTD.","Arena","B9650558546","Customer's concern He has booked the service yesterday but he has not received any call till now and he was saying that someone from the service centre should come and take his car hence i  provided the customer care number for servicing.","2026-06-15 02:43:02.028695","81128793@maruticrm.onmicrosoft.com","2026-06-15 02:43:02.028695","81128793@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 3","10818 - SNG","LMJ SERVICES LTD.","Arena","B1067710097","The customer requested dealership details to proceed with a service booking; and wanted to book the service so i provide the dealer details to the customer 
","2026-06-15 02:50:25.705916","1153962@maruticrm.onmicrosoft.com","2026-06-15 02:50:25.705916","1153962@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH 2","14855 - NVR","VARUN MOTORS PVT LTD","Arena","B5567882907","Customer concern is that customer has booked car servicing appointment through Maruti Suzuki application but no one came for car pickup. Shared workshop details with them and provided CCM number. Hence query raised.","2026-06-15 02:54:22.994283","81128798@maruticrm.onmicrosoft.com","2026-06-15 02:54:22.994283","81128798@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"WEST 2","10285 - WGH","SAI SERVICE PRIVATE LIMITED","Arena","B2533330900","""The customer is facing a low mileage issue with their car, so I provided them with the service center's number.""","2026-06-15 02:55:34.728107","1153962@maruticrm.onmicrosoft.com","2026-06-15 02:55:34.728107","1153962@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 3","10216 - DAU","VIPUL MOTORS PVT. LTD.","Arena","B6695894470","Customer vehicle back mirror has damage. Hence i have provide nearest service center address and CCM number provide.","2026-06-15 03:01:45.796173","81122506@maruticrm.onmicrosoft.com","2026-06-15 03:01:45.796173","81122506@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 1","11168 - MDD","GOPAL AUTO DISTRIBUTORS","Nexa","B6086186195","The customer requested dealership details to proceed with a service booking; and wanted to book the service so i provide the dealer details to the customer 
","2026-06-15 03:02:33.17678","1153962@maruticrm.onmicrosoft.com","2026-06-15 03:02:33.17678","1153962@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH EAST 1","13163 - AGD","GEM MOTORS (INDIA) PVT LTD","Nexa","B1726531666","The customer placed an accessory order via the Maruti Suzuki application on June 8th, 2026. Upon checking the system, the order ID successfully reflects as received in the DMS Dealer Management System. However, the assigned dealership is failing to provide clear delivery timelines, stating they currently lack the stock/funds to process it immediately. The dealer informed the customer that the fulfillment could take anywhere from one to two months without committing to a concrete delivery date. The customer is highly dissatisfied with the dealer's vague response and requests an immediate intervention to secure a definitive delivery timeline for their accessories.","2026-06-15 03:04:12.013435","81110960@maruticrm.onmicrosoft.com","2026-06-15 03:04:12.013435","81110960@maruticrm.onmicrosoft.com","OPEN","Query- Accessories","OPEN","1",NULL,NULL
"SOUTH 3","11801 - PDS","INDUS MOTOR COMPANY PRIVATE LIMITED","Nexa","B2758159133","Customer owns Frnox his concern that he had approached the above authorized service center only for rectification of a minor dent located at the bottom portion of the left rear door of his vehicle. Except for the said minor dent issue, the vehicle, including all glasses, windshield, and body panels, was in proper condition before handing over the vehicle to the workshop. At the time when the vehicle was entrusted to the workshop, the vehicle was almost in fresh condition, being only around four months old and having run merely about 3309 kilometers. Naturally, he had every reason to expect careful and professional handling from an authorized Maruti service center. However, during the course of the repair/workshop process, multiple glasses of his vehicle, including the windshield and other glasses, were damaged/scratched with visible spider-web type marks allegedly caused during sanding and related workshop activities carried out at the service center. It is further understood that the sanding/polishing procedures which resulted in the scratches and spider-web type marks on the glasses were allegedly carried out for removal of primer paint overspray occurred due to keep his car near to a partly opened primer booth, of the workshop itself, which was entirely unrelated to the original complaint for which he had entrusted the vehicle to the service center. He had approached the workshop only for rectification of a minor dent on the left rear door, and no work involving the vehicle glasses was either required or authorized by him. He had never expected such an unprofessional and careless approach from a learned and authorized Maruti service center, whose actions clearly fall short of the standards expected from an authorized service provider. It is extremely distressing that a vehicle entrusted for rectification of a minor dent has now become the subject of major concerns relating to glass damage, workmanship quality, originality, and value depreciation. 'as par the customer complaint was closed without telling them, and they want to reopen as per the customer request...'
","2026-06-15 03:06:39.560201","1160001@maruticrm.onmicrosoft.com","2026-06-15 03:06:39.560201","1160001@maruticrm.onmicrosoft.com","OPEN","Query-MSGP","OPEN","1",NULL,NULL
"EAST 3","12035 - RGI","PODDAR CAR WORLD PVT LTD","Arena","B0179100001"," The customer stated that the workshop recently completed their vehicle's second service, which included wheel balancing. Since they were charged for this service, they have shared the Works Manager (WM) and General Manager (GM) contact numbers for further escalation.","2026-06-15 03:06:54.841548","1170220@maruticrm.onmicrosoft.com","2026-06-15 03:06:54.841548","1170220@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH 1","10022 - MRD","ABT LIMITED","Arena","B8844864546","The customer is saying that the repair work done by him is not of proper quality. The customer wants to register his concern on this issue and wants a solution to this problem as soon as possible. Hence query ha been raised and shared CCM and WM Number.","2026-06-15 03:07:47.22446","81110974@maruticrm.onmicrosoft.com","2026-06-15 03:07:47.22446","81110974@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","2",NULL,NULL
"EAST 2","10204 - MHR","RAJIV AUTOMOBILES PVT. LTD.","Nexa","B4662035585","customer voc:Sir, I have a Grand Vitara car bearing registration number BR05BM5209. On 03/06/2025, I visited Rajiv Automobile Motihari for the first service. During parking inside their campus, one of their staff members hit the right-side headlight of my vehicle while parking another car. I immediately informed them and requested replacement of the headlight.
However, their staff repeatedly requested me not to ask for replacement and assured me that they would get it corrected. Considering their request, I agreed. After that incident, the headlight started developing fogging, and later the headlight has stopped functioning properly.
During my subsequent visit, I again raised the issue and was asked to come later for correction. I have also raised complaints multiple times with customer care, but no proper resolution has been provided. Now the service centre is asking me to claim insurance, although the damage occurred due to their staff’s negligence during service.
Therefore, I request you to kindly direct the concerned service centre to repair or replace the damaged headlight at their own responsibility and resolve my complaint at the earliest.
Thank you.
synopsis=============================The customer is lodging a formal complaint against Rajiv Automobile in Motihari, Bihar, regarding staff negligence and an unfair demand to claim personal insurance for workshop-inflicted damage to his Grand Vitara (BR05BM5209). During the vehicle's first routine service On 03/06/2025,   a staff member operating another vehicle accidentally struck and damaged the customer's right-side headlight inside the facility premises. Although the customer initially requested an immediate replacement, he agreed to a repair based on the persistent pleas and assurances of the workshop staff. Consequently, the headlight developed internal fogging and eventually stopped functioning altogether. Despite multiple follow-ups, subsequent workshop visits, and several customer care complaints, the workshop has failed to fix the issue and is now attempting to shift the financial liability onto the customer by forcing an insurance claim for an accident entirely caused by their own personnel.","2026-06-15 03:07:49.829441","1160001@maruticrm.onmicrosoft.com","2026-06-15 03:07:49.829441","1160001@maruticrm.onmicrosoft.com","OPEN","Query-MSGP","OPEN","1",NULL,NULL
"CENTRAL 2","12539 - RER","DINCO 4 WHEELS LLP (AUTO VIBES)","Arena","B8666598983","customer called and said that he is getting noise from brake and customer visited to workshop but they said this issue is in all the victoris","2026-06-15 03:08:53.136185","1154837@maruticrm.onmicrosoft.com","2026-06-15 03:08:53.136185","1154837@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"EAST 2","11026 - CHH","REESHAV AUTOMOBILES PVT LTD","Nexa","B4933144816","Dear maruti suzuki customer care team
 I am writing to formally complain about the significant delay of my car BRO4AT2358 my car is accident approx 3 month before i claim for issurence 
 Almost 3 and half month goes and i did not recieve my car because he say my car is not ready some part is in order what i do Almost i am helpless

Despite repeated follow-ups with the dealer, the vehicle has not been delivered even after i visited 10 Time 
This delay has caused me significant inconvenience, including financial loss
disruption in personal plans, additional commuting costs,
I expect a response and resolution within the next 48 hours as per your service standards. If not resolved satisfactorily, I will be forced to escalate the matter further to consumer court

Name -- Ayush kumar
Contact no -- 9162987056
Email -- as8828416@gmail.com
Car model -- BALENO ZETA CNG white 
Car number -- BRO4AT2358
Dealer name -- REESHAV AUTOMOBILES PVT.LTD CHHAPRA,SARAN (BIHAR)
====================synopsis==================Customer issue regarding an extensive delay in accidental repair work at Reeshav Automobiles, Chhapra. The customer, Ayush Kumar, reports that the vehicle (BR04AT2358) has been at the workshop for approximately 3.5 months, and despite 10 visits, the repair remains incomplete due to pending parts.","2026-06-15 03:09:16.126472","1160001@maruticrm.onmicrosoft.com","2026-06-15 03:09:16.126472","1160001@maruticrm.onmicrosoft.com","OPEN","Query-MSGP","OPEN","1",NULL,NULL
"EAST 2","13156 - DCK","SEEMANCHAL MOTORS PVT LTD","Nexa","B5893497088","Customer VOC: नमस्ते. मै संचिता कुमारी सुजुकि कि पुरानी कस्टमर हूँ  और मेरे पास 3-4 गाड़ी suzuki कि use हो रही है, मेरा शिकायत है कि मै दिनांक 18/06/2026 सोमवार को एक छोटा का Ac का काम करवाने nexa गुलाबबाग शो रूम आई, यहाँ का इतना ख़राब व्यस्था और गन्दा सर्विस के कारण ना तो मेरा रिसीव हुआ और ना ही कॉल रिसीव हुआ Advvisors के द्वारा मै लगभग 20-25 min तक इंतजार कि लेकिन किसी से कोई रिस्पांस नहीं मिलने के कारण वापस आने का सोची गेट पास बनवाने का, इन लोगों का इतना धांधली है कि मैन्युअल गेट पास नहीं देकर जबरदस्ती जॉब कार्ड खोला गया, कस्टमर का time का कोई वैल्यू है ही नहीं, इन प्रोसेस मे लगभग मेरा 1 घण्टा बर्बाद किया क्या.. यकीन नहीं हो तो आप Cctv चेक करवा सकते है 2:00 PM से 03:15 pm तक,
 मै पिछले वार भी mail करके शिकायत दर्ज कि लेकिन इतना मनमानी है कि कोई सुधार और सुनवाई नहीं हुआ, यहाँ के Oner लगता है कोई देख रेख करते ही नहीं है, 
इतना ख़राब स्थिति को देखते हुए मै ना तो कोई nexa का कार लुंगी और ना ही किसी को सजेस्ट करूंगी कि कार ले और सर्विस करवाए,
इतना परेशान होके के बाबजूद 03:05Pm तक गेट पास नहीं मिला है,==========Synopsis of VOC: Customer writing his complaint regarding his service of minor air conditioning issue, the workshop failed to allocate a Service Advisor to the customer within the standard 20–25 minute reception window. Furthermore, the facility’s for vehicle exit was completely bypassed; rather than smoothly issuing a manual gate pass for an un serviced vehicle, the workshop staff forced the creation of an unnecessary job card, causing a severe operational bottleneck that delayed the customer for over an hour. This ineffective handling, compounded by a lack of tracking on previous escalation emails, indicates a systemic breakdown in the workshop's frontline floor management and a failure to provide basic vehicle intake facilities. Kindly look into this and resolute as soon as possible. ","2026-06-15 03:10:26.54175","1160001@maruticrm.onmicrosoft.com","2026-06-15 03:10:26.54175","1160001@maruticrm.onmicrosoft.com","OPEN","Query-MSGP","OPEN","1",NULL,NULL
"WEST 3","14800 - ONG","COMET CAR SALES &SERVICE PVT. LTD.","Arena","B4231502608","The customer wants to know the complete details of the pricing in their vehicle invoice. he is  seeking a detailed clarification regarding the vehicle's invoice need solution asap ","2026-06-15 03:12:02.056884","1170278@maruticrm.onmicrosoft.com","2026-06-15 03:12:02.056884","1170278@maruticrm.onmicrosoft.com","OPEN","Query - Sales","OPEN","1",NULL,NULL
"NORTH 3","15768 - GOP","ARBIT AUTOMOBILES PRIVATE LIMITED","Nexa","B4791551664","Dear maruti suzuki nexa ,
 i am very disappointed from your taramandal gorakhpur uttar pradesh india nexa service work shop , 

""I had come to the Nexa Service Center taramandal gorakhpur Uttar Pradesh india pin code 273016 .
to get my car serviced. I informed the advisor who attended to me, Mr. Praveen Mani Tiwari, (mobile number 8429540354 )that my car is a Fronx CNG ( registration number  UP 32 PK 6888 )and requested him to clean the CNG cylinder. He replied, 'We do not clean it here; you will have to get it done from outside.'
I demanded an explanation for why he was telling me to get it cleaned from outside. I asked, 'If a problem arises with the car later on, I won't even get the insurance. They will simply claim that since it was cleaned from outside, the company is no longer responsible. What will I do then? Will you take responsibility for it?' To this, the advisor replied, 'Why should we take responsibility?'
Meanwhile, during this conversation, the manager here, Adarsh Sinha , started misbehaving with me and began using abusive language. If adarsh sinha is not punished by the authorities , I will never buy a Maruti Suzuki car again in my life, nor will I ever let any of my acquaintances buy one.""=========================================Synopsis===========================================Customer owns a Maruti Suzuki Fronx CNG (registration number UP 32 PK 6888), visited the Nexa Service Center in Taramandal, Gorakhpur (PIN 273016) for a routine car service and requested that the CNG cylinder be cleaned. The attending service advisor, Mr. Praveen Mani Tiwari, refused the service, stating that it must be done externally, and declined to take responsibility for any subsequent insurance or liability issues raised by the customer regarding third-party servicing. During the ensuing discussion, the workshop manager, Adarsh Sinha, allegedly intervened, misbehaved, and used abusive language toward the customer. Deeply aggrieved by this hostile behavior and the lack of professional accountability, the customer is demanding strict punitive action against the manager, threatening a lifelong boycott of Maruti Suzuki vehicles and vowing to deter their acquaintances from purchasing from the brand if the matter is not resolved.","2026-06-15 03:13:09.45318","1160001@maruticrm.onmicrosoft.com","2026-06-15 03:13:09.45318","1160001@maruticrm.onmicrosoft.com","OPEN","Query-MSGP","OPEN","1",NULL,NULL
"NORTH 3","17072 - CSE","NANDINI MOTORS(A UNIT OF PARK LANE ENERPRISE)","Arena","B1215641345","Customer's concern is that the tyre of his car got flat last night. Regarding this, workshop details have been provided to the customer. Hence query raised.","2026-06-15 03:16:17.557264","81128798@maruticrm.onmicrosoft.com","2026-06-15 03:16:17.557264","81128798@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 2","12345 - CWK","PASCO AUTOMOBILES","Nexa","B6537812500","The customer want to booked the slot  for paid servicing hence i pitch the FCR , raised the query and shared the ccm number, 
Pinki ma'am of the PASCO AUTOMOBILES , Address - KHEWAT NO.26, KHATONI NO.27,, NARSINGHPUR, NH-8, GURUGRAM, HARYANA. PIN: 122002 .","2026-06-15 03:20:53.559964","81113664@maruticrm.onmicrosoft.com","2026-06-15 03:20:53.559964","81113664@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 3","10703 - LC1","ANAND MOTOR AGENCIES LTD","Nexa","B5880225906","The customer requested dealership details to proceed with a service booking;and wanted to book the service so i provide the dealer details to the customer 
","2026-06-15 03:21:08.896106","1153962@maruticrm.onmicrosoft.com","2026-06-15 03:21:08.896106","1153962@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH EAST 1","10240 - KDV","VARUN MOTORS PVT LTD","Arena","B1513428975","Dear Mr. P M Jayaprakash, The vehicle in reference was being serviced at the referred workshop facility. In the fourth week of March 2016, a comprehensive annual service of its second year is done. Checking battery was essential part of it. They assured me at the time of handing car to them as well confirmed of thorough battery check-up for its health including if any drain observed. On May 23rd 2026, while I was in Vijayawada city there was a problem to start the car. Requested roadside assistance on my Suzuki application. The help arrived in 20 minutes and started the car with Jump Starter which is the SOP worldwide. I had paid for the service. In fact your customer care called me and confirmed if the roadside help reached me in time. After reaching home on the same day i.e. 23 May 2026, I faced same problem in my parking. Requested Varun Motors, Kesarapalli for help. It is 3 to 5 km from my place. Two persons came with a battery. They started my car parked in the basement. One person opened the bonnet, other placed the battery brought with them upside down touching poles (terminals) of my car battery. Then the other person cranked it. It is most dangerous way of starting car. It could have caused fire that too in the basement where about two hundred cars were parked. I told the person it is dangerous way of jump starting the car. He told me the workshop does not have starting aids. It happened on May 23rd 2026 at customer point. I went to their workshop with them at Kesarapalli along with them. Met Mr. Anil, Service Supervisor. Battery warranty expires on May 16th 2026. battery failed on 23 may 2026. I had been getting regular services from Maruti workshops only. I told the service supervisor Mr. Anil. 1. If the battery is tested for health in fourth week of March 2026, how did it fail. Asked them for the test slip or the record noted in job card. They are evasive. Obviously, they did check the battery. 2. Standard practice in such close expiries is: a. Goodwill warranty based on customer’s service record. b. In extreme case replacement under pro-rata Mr. Anil, Service advisor assured me he shall do the necessary things if vehicle is left with them in the workshop. Left it with them on May 23rd 2026. On 25th May 2026 enquired with him. He said it is in progress. On 26th May 2026, when contacted Mr. Anil on phone, he told me I have to buy new battery. If so, I asked him “can I contact Maruti for redressal.” He requested me to meet Mr. Rajesh, Service In charge at Kesarapalli workshop. He told me the battery life is only two years. I felt during discussions Mr. Anil nor his supervisor Mr. Rajesh did absolutely nothing in this regard. As I did not see the discussion heading nowhere, I requested them to start the car and handover to me. They brought a battery with two long ring-spanners. Connected my battery poles with the ring-spanners and cranked my engine. They at least could have come with two battery cables to start my car. Once done a mistake but not repeating it in brazen disregard to the safety of customer’s vehicle and to the people around. It clearly establishes two things: The workshop did not check the battery during service in forth week of March 2026. The service personnel at the workshop don not follow SOPs as per the principal’s (Maruti Suzuki’s) requirements. Request you to resolve it appropriately at the earliest. By the way I had been with Mahindra Group, Escorts and John Deere handling gamut of functional areas. Never allowed such gross negligence nor serious lapses at our dealerships.====================================Synopsis====================================As per telephonic conversation , the customer brought his two-year-old vehicle in for an annual service at the workshop's insistence. Following the service, the vehicle's battery failed. The workshop did not report any battery issues during the inspection. However, when the customer followed up, the workshop claimed that a car battery's lifespan is only two years—a fact the customer was never informed of when purchasing the vehicle. Additionally, when workshop staff previously came to the customer's home to pick up the vehicle, they jump-started it using an external battery. The customer highlights that this was a hazardous practice that could have triggered a vehicle fire. Hence he is seeking MSIL assistance in this matter.
","2026-06-15 03:22:01.810791","81110968@maruticrm.onmicrosoft.com","2026-06-15 03:22:01.810791","81110968@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","2",NULL,NULL
"CENTRAL 2","16238 - GG9","SWASTIK MOTOCORP PVT LTD","Arena","B8081978662","customer wanted to get service done of his car ","2026-06-15 03:24:39.981971","1154837@maruticrm.onmicrosoft.com","2026-06-15 03:24:39.981971","1154837@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 1","11612 - GOL","BEEKAY DISTRIBUTORS PVT. LTD.","Arena","B0473387991","""The customer said, 'I purchased the car one day ago, and the AC is not cooling.' They added that they raised this concern with the service centre, but the team was unable to resolve the issue. Because the customer was irritated, I provided them with the service centre's number."" so I provided the service center number.
","2026-06-15 03:25:31.961291","1153962@maruticrm.onmicrosoft.com","2026-06-15 03:25:31.961291","1153962@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
